,x,y,width,height,reward
0,-366.914461940263,38.54507375353104,53,82,10
1,-245.6555196682922,-120.42603524803602,143,96,3
2,-331.9233167655992,-58.25807616246546,126,106,2
3,-370.43870509783227,-46.817085093154894,81,84,4
4,-288.5906785813339,-84.70287181670375,64,72,8
5,-374.5163379485757,-33.42364158259835,121,139,10
6,-163.73539065537446,-48.44142933443065,60,98,1
7,-360.17930273041816,-62.94745941109078,64,129,9
8,-213.15878868834255,-59.30297327597451,62,124,5
9,-262.65273722651995,-86.34575210841842,133,84,5
10,-261.0132837670317,-99.71456176840888,111,83,2
11,-309.9199120966794,-40.990061915493214,127,55,4
12,-277.5179016251194,-22.458816362875396,117,56,6
13,-336.84383271364715,12.047537167737445,150,68,4
14,-382.7409430372993,22.566182201005944,140,60,2
15,-191.219254635403,-101.93710340182596,131,53,8
16,-382.88166339861846,-45.08972898292815,66,69,4
17,-418.8225285953064,-38.785396205870754,139,91,1
18,-419.09894626218176,-43.646740110644416,137,68,9
19,-128.84976044776684,-120.76585935667549,93,134,3
20,-214.34349547615957,-104.41394532184486,91,106,4
21,-381.6761376700761,-48.51158111724151,57,88,9
22,-291.7060839729553,8.581456208372884,55,116,3
23,-271.2339201318826,-58.59322666655676,85,114,1
24,-348.92613200188157,-8.347741119815591,63,87,2
25,-439.8143573712429,-145.000704369277,109,100,4
26,-324.77375954396865,-111.3841409162169,144,98,7
27,-236.0401471032908,-57.548130046246825,96,99,5
28,-244.29249105880209,-4.929879536394502,137,82,4
29,-282.6049961914934,-54.23510907910685,50,63,8
30,-265.9155045721929,-9.49390233469514,51,110,3
31,-76.72007203608231,22.1775300771556,112,115,6
32,-11.710829473264734,-25.928191546484435,148,127,1
33,-210.1912723960258,75.03803827725525,104,78,7
34,-24.300227350864503,-21.154545460796484,133,119,9
35,-30.3299524276948,56.15186054368014,84,53,6
36,-66.29834328083308,25.410636571240634,134,117,8
37,-3.994800755473733,54.41644047904048,108,113,1
38,-28.102989445427887,46.71372277304559,55,116,2
39,-7.5384320412880825,-126.77186765182904,125,138,6
40,70.597938769156,63.45216318718601,51,62,1
41,-95.57009617024787,-17.11540229236698,142,81,10
42,-15.838225726986643,-65.1583834169262,71,142,10
43,-138.71647830906738,37.75699774745077,106,144,10
44,-17.921147126520996,5.876833213419211,60,125,2
45,20.52506476997563,66.08006362932639,86,149,6
46,-45.55771240185514,7.5103691418967315,88,92,6
47,-121.48597034781179,-61.30117846485949,70,142,6
48,33.99319529969982,13.649606858470118,133,147,2
49,25.935601525659536,-132.70720276795078,129,123,4
50,-16.917340275335512,23.972612010303248,140,58,9
51,-149.81496328153088,-34.78494099231706,77,136,3
52,45.15743657573687,-26.26899713719967,85,147,10
53,-111.72629472944358,-93.99329297727033,75,141,5
54,-81.09764769148313,155.4898414374509,94,145,6
55,-16.01793243641233,5.401274132125369,92,112,10
56,-40.68441924318805,34.20280885800898,73,94,8
57,-83.7461706698947,-24.073701261284896,138,131,3
58,-163.05494100609656,-7.162242137168306,98,81,8
59,-124.32192934618892,-11.853481196610076,87,55,5
60,-4.234248030358472,-65.42647817683103,129,133,8
61,-108.59658778760098,-8.575219029848824,115,73,7
62,489.90488948062483,-40.584401920969235,126,84,10
63,486.1243448456477,103.1933425644146,51,104,4
64,487.9746843708441,-73.05806760041663,89,129,8
65,476.5436573701612,-4.998386477158935,65,69,3
66,351.76112668281917,45.94719493491114,119,85,8
67,498.49298678514236,32.56699546684647,138,64,4
68,469.48675529575047,61.51746503769813,86,135,2
69,577.6354353086462,-0.5777948431581921,123,84,1
70,446.8685674419647,-75.8336831867649,56,133,8
71,487.43378058309327,19.454833528510992,133,112,10
72,489.39908180598485,33.743718893820386,132,99,5
73,447.6769475797865,-50.76204102259862,73,63,9
74,477.6681521636515,46.082612334135305,127,140,7
75,495.6531211537641,-27.88727845240714,88,95,3
76,506.6332232488444,29.093255873574613,70,81,7
77,631.2579105448045,105.24933260423073,133,138,3
78,617.1369084098338,122.57563538691545,106,102,2
79,389.9738362721544,133.13915127876098,131,93,8
80,477.74121777320323,-41.907842998343156,132,68,2
81,375.9725413999966,-38.92004761473498,95,124,1
82,448.5251135421034,45.14878627452764,107,107,8
83,409.0666290991496,-91.35383894081795,89,130,1
84,445.3970188338576,15.298965959196671,147,71,6
85,469.3980249819688,20.697765080773642,87,140,3
86,373.5461098177499,6.083674530322703,132,133,4
87,429.5190407435089,89.21703290999132,105,72,5
88,428.7761089668092,-34.31411944388863,121,59,3
89,511.44381637607853,-83.19489768243062,108,64,8
90,561.8840440562902,10.346810360482582,113,91,1
91,486.16985661309593,39.95067587261181,139,122,4
92,446.1841499216138,0.5897563709645262,150,139,1
93,37.80040448900325,62.37777883507181,84,63,6
94,14.177945406378596,38.72404106007806,108,56,1
95,51.19057687657433,12.531005164876994,52,148,6
96,64.3809203427555,29.537756248078047,67,125,5
97,49.07396828784647,28.5655320366867,69,111,9
98,28.6588014375721,11.078745783064825,69,88,9
99,25.141956558744898,24.93835683937968,118,110,9
