,x,y,width,height,reward
0,-183.44865477614402,-61.331165481779855,94,90,9
1,-223.54683645854976,-46.879317972806476,145,140,6
2,-271.05397828421843,-111.32965333413311,119,62,1
3,-181.42454051133254,-36.78456905782946,137,85,6
4,-214.56704524745268,62.00781300271011,111,144,1
5,-220.9952342926085,-19.29027145328886,62,62,1
6,-189.1754749258231,2.018223153555091,118,108,7
7,-239.68632204206574,56.14186269705894,132,110,3
8,-214.27685490070945,-13.073637627654474,105,88,2
9,-225.49698592720802,-149.9147625242375,100,115,6
10,-289.8868942324319,3.038198874902493,136,60,6
11,-273.2135827808258,12.497956499741509,135,141,3
12,-219.55077342719872,8.529637609281615,110,87,4
13,-150.6036217721638,35.494130625947456,118,121,10
14,-204.55506721187592,25.13746566651875,75,83,6
15,-173.97991700896114,-38.33224463488844,130,117,5
16,-226.7263270426463,-94.4122719028473,71,135,8
17,-260.341705367772,0.3745468070599429,93,76,7
18,-216.42396319629526,-72.44700654779356,123,80,9
19,-180.25418320980225,141.52785749522712,140,73,6
20,-255.05481901997737,-10.179316216197156,130,142,9
21,-209.66527834906876,-52.81581378382738,100,71,9
22,-188.85963594508925,-23.00834054814667,92,72,8
23,-225.82047678296087,-89.96921768075202,138,60,5
24,-278.7479809294591,-64.6334696901416,92,78,8
25,-250.5619860660773,64.99825215070726,112,145,4
26,-186.32963398500004,79.08774617323131,111,124,10
27,-203.21492998502316,50.97712866216665,88,143,7
28,-168.4577571907222,37.286902958381425,91,139,1
29,-318.7026536710546,88.86178782397499,71,87,1
30,-283.42760981053794,-64.16164321247737,70,93,3
31,-31.246589803070762,-63.088218949947304,96,64,3
32,-93.86132284955406,-17.336227095012035,111,83,9
33,-114.5715182107181,99.78447963340855,136,63,3
34,-47.42507206443602,30.921129609298383,58,87,1
35,-126.81269342574814,-39.21558432211857,108,84,9
36,-2.5827806337365047,88.79151278872617,97,110,5
37,-68.4159426508732,96.26490140226937,83,136,6
38,-172.67636560017263,-24.295093585966058,112,71,3
39,-47.71147534975375,-43.29420323748879,143,97,8
40,-1.920364278354505,-0.9000886192146069,85,135,7
41,-44.22442902682127,70.72460532358684,104,92,6
42,-80.5813330275758,132.97294032099336,134,118,3
43,-12.321350400258375,71.00668328141856,150,75,6
44,-178.077520601364,37.200073750974575,76,103,7
45,-71.88798033828974,87.94904407152107,122,72,3
46,-137.24469957609153,71.01585438940704,105,135,6
47,-54.617643730644986,89.67513555704033,118,51,8
48,-133.07619354595636,45.733003172656005,89,113,6
49,-138.3619834013119,-7.226295567797564,109,84,2
50,-123.44752960928031,-18.322874061943395,55,83,8
51,10.238482679551083,25.61382223892118,115,99,3
52,-22.512948932117993,-52.09890091829199,142,145,2
53,-38.393955356208444,116.3603466537153,135,148,8
54,-105.00428176006892,-81.90176125948855,88,120,8
55,49.032463773959066,36.128820396344366,133,94,6
56,-56.99258047322405,49.399574785969705,84,70,3
57,57.93196593066368,-34.85196401770524,78,71,10
58,-57.65223629921177,-38.91182097641581,53,135,3
59,38.32477674346872,69.53853848618539,93,118,8
60,19.664254490875066,96.16606979594931,68,97,5
61,-19.274026495089103,8.968164638564836,58,90,7
62,293.17273221217874,4.291355066342026,51,114,2
63,232.8184652432408,5.601840038199709,131,102,8
64,349.5601611515043,37.893905702328865,50,98,2
65,306.76367354367784,-60.65114674800059,116,140,3
66,372.8810312269058,29.405842764554656,114,111,2
67,223.33486785284015,72.11749759884226,125,134,3
68,232.55450133626266,33.37117201907015,115,120,2
69,283.47504547812287,-29.050991490153883,72,100,7
70,242.60570640475137,-41.995190815190945,118,107,4
71,250.25815761179206,-21.972852919527583,127,148,6
72,194.1702513343298,10.36823063567551,134,145,2
73,298.3708350141273,-49.6118668817706,78,84,4
74,372.68870576843494,-89.78849138122965,145,145,8
75,207.14436395352178,-114.85983597827969,132,145,10
76,220.97273032546693,6.953359752603452,134,125,9
77,255.76028545119306,3.5052528686934714,91,52,5
78,290.5296129440318,93.65166672080714,90,116,5
79,436.7010826132321,-20.652140786489184,86,135,7
80,284.2504999761568,-76.56691011808279,102,66,7
81,385.63306611139194,8.839728545334955,146,134,6
82,343.3491895626612,-103.38638875128548,85,108,10
83,278.3162572679226,31.250483360134247,86,101,8
84,261.7224870384481,41.998728469726224,133,67,8
85,296.1588367605279,74.43785086972426,95,79,6
86,314.2559515992866,-85.387821294459,126,95,7
87,288.24588238163614,-30.207661404765233,80,110,10
88,193.2048432858411,28.606333537091167,135,64,3
89,377.0642849380082,27.605071667249995,63,60,8
90,205.45055385130814,91.20674430934731,127,144,7
91,188.7166040754449,-35.0043909717581,110,131,8
92,333.05122529701714,-90.4683916550751,105,141,1
93,51.059033662051625,25.78303906432058,78,59,8
94,60.78393960364697,16.961427479768858,140,112,8
95,17.0220308686754,46.0932379099671,90,125,1
96,67.95122083238763,45.985151827489595,72,100,8
97,50.300590373437544,69.19770029245709,96,72,10
98,10.0575779559974,58.270022382917006,78,72,4
99,24.600677234637878,33.05724784056837,125,142,9
