,x,y,width,height,reward
0,-94.80246625481192,-185.73653838383564,90,139,4
1,-112.8887728075002,-163.24524944393912,141,148,1
2,-165.05613337794009,27.58671801458729,112,143,4
3,-222.32045616145643,32.85085012286234,89,138,3
4,-187.1584494568935,-55.550214813544265,126,115,1
5,-124.8517241721757,-63.83695415251054,86,116,1
6,-187.65914905044593,-79.84304175668746,122,63,3
7,-108.03337091324525,-181.96979033572381,111,83,7
8,-226.7080408958919,-156.16193426535102,91,141,2
9,-312.2383507038312,-62.5888501451603,107,141,9
10,-221.32445815882872,96.63984822335104,103,140,9
11,-72.90781643671794,-127.18890394441522,122,91,4
12,-176.13790981053262,-106.86558985665704,104,109,7
13,-151.73750877695497,-111.74094080409778,90,109,8
14,-231.069334106952,-129.88089650738294,70,96,4
15,-63.00859294221062,22.580779405159568,101,75,10
16,-148.54856971886176,69.04354550651435,102,60,8
17,-103.11213578402415,4.518135844405007,112,60,8
18,-138.2868426536583,22.92387420663268,78,100,10
19,-15.184859608407265,24.13094683048738,120,64,10
20,-155.94992887639984,71.99505739088528,108,135,7
21,5.2219824247727615,150.83844924019448,66,96,4
22,-60.029762173693015,34.965132390993304,137,143,3
23,-59.52363275685506,158.14392223853912,78,112,1
24,16.90748376270001,-24.04523890601225,134,101,7
25,-83.35763518115684,-126.48730235513298,99,82,7
26,-54.62853166962544,-53.34307636345485,88,53,2
27,-122.62466224777381,-98.93517829490071,78,136,2
28,-203.1873075423913,-91.35665802631597,71,66,1
29,-34.19924255247071,-1.2538233847257603,143,107,3
30,53.269165479072186,57.233433791418825,109,90,9
31,214.01233123281068,-15.318166889861217,51,139,7
32,210.5754117233549,-62.5621231268619,150,50,10
33,240.67975941578,-32.24786483631338,75,72,10
34,159.3572506703084,-1.2945823288897458,107,53,3
35,210.751958115345,-159.19564178677314,123,73,10
36,118.44139220377775,-29.024306956405994,126,94,2
37,240.60089529128362,-169.00387275144274,54,96,5
38,299.8621159436781,-119.55137286292198,140,101,3
39,307.7814575580444,-99.74710662069936,132,69,3
40,215.00399853651953,-47.37177346640957,96,131,5
41,163.4040779992563,-167.4480029924286,116,137,10
42,312.94572289912105,-14.071629411752681,149,91,9
43,143.18691456511817,63.24669204935114,126,131,8
44,239.99716576326324,-161.4055778994982,120,133,9
45,148.59497745118986,-3.7179772039913104,130,96,2
46,50.85374239660753,59.839098974918514,63,143,2
47,44.362237238288145,56.01408788209119,64,87,8
48,14.189630859292123,23.333206822823378,142,133,1
49,59.949141443589,11.785868847942249,137,86,5
