,x,y,width,height,reward
0,-26.884873327343286,-66.15416280342987,147,78,2
1,-186.95040863598632,-95.91612633503249,110,95,5
2,-295.81254730199726,-97.01301130798183,143,116,8
3,-89.20345517978268,-61.44376934638065,64,143,8
4,-242.47140913570541,-87.96020175406204,95,133,8
5,-85.81463093258226,-11.043584687696693,102,87,6
6,-103.89364544561788,-129.20820040671302,132,135,7
7,-128.26426220252202,-34.64526523229303,72,50,6
8,-134.15438447418373,-27.325515004933244,96,69,8
9,-136.01981787371625,-52.70524465596068,83,77,9
10,-198.70604160877332,25.919626608479874,117,117,6
11,-188.05113195548856,14.707551176568813,79,57,2
12,-157.12708395895035,-121.31853219197708,67,127,7
13,-262.82235230567176,-31.373126828131685,66,56,7
14,-134.1730290302129,28.82261276988939,149,114,7
15,-125.73865353344668,7.9009549834077095,142,141,1
16,54.15248580365703,-95.80753092995253,131,128,5
17,-28.681299210162393,55.778745608416905,71,124,6
18,32.24067580449738,-8.749051543219899,57,86,6
19,42.22924484813994,47.29304352759307,129,105,10
20,-57.02938765847819,90.34060346337061,129,128,3
21,-20.83713017221384,0.3566586579144353,60,102,6
22,-19.973170748305577,21.794878004124996,100,62,1
23,29.799394658630213,50.13593664852661,101,140,4
24,81.27922299905384,67.09932248291952,75,136,10
25,51.81404836451807,-80.9213119080131,118,88,8
26,-5.22866807777139,5.415737968415741,114,67,6
27,-14.185681654326741,62.05821274973843,108,130,10
28,-0.48993696963175193,-56.24588977071397,52,59,2
29,42.92816697363211,-4.721325353141022,116,114,3
30,25.26678076341917,9.346263954657896,96,131,2
31,185.63466366349843,-1.0302983210248677,83,69,7
32,216.8104178243153,44.97850518419948,72,116,8
33,211.24506193235004,127.94949329199702,51,50,10
34,235.06992062386166,-23.0575177398174,125,103,7
35,231.1308100346258,13.239761317707021,54,98,4
36,288.54621783624884,-30.85101932001389,125,72,9
37,110.27120786160157,88.32483561764525,101,144,5
38,198.9148195075452,-13.541734986053525,149,115,8
39,341.6438679067277,76.95461311990947,146,123,4
40,203.82422681308142,-56.514269315396504,84,100,1
41,186.82199700019453,-5.755790389331424,138,99,1
42,224.19785888556848,-43.91377561812505,115,130,10
43,240.36569900500203,-62.70473000617679,145,133,6
44,91.39580750232057,3.660909188878933,59,76,10
45,270.41196469347375,26.02620358956602,71,150,7
46,58.55203350864273,47.17860698455139,145,68,10
47,38.80023784269077,44.93384062780839,112,128,3
48,30.532627931336112,38.600394816256475,53,74,7
49,69.52170947664135,42.28367851975236,89,135,10
